Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.557,2018-04-29 02:20:36+00:00,0.847,0.0,0.153,"RT @nikx_exe: According to Professor Harare of Israel, a divine greatman of India with humanitarian thoughts would make the roots of spirit…",110,@BBC
0.0,2018-04-29 02:20:02+00:00,1.0,0.0,0.0,"#SaviorOfTheWorld
कौन है वह महापुरुष जो पूरे विश्व में ज्ञान की क्रांति ला देगा जानने के लिए देखें साधना टीवी 7:30… https://t.co/qKtdKXsSoY",111,@BBC
0.765,2018-04-29 02:19:53+00:00,0.708,0.0,0.292,RT @BBC: ❤️ This make-up artist is using her skills to help scarred women feel beautiful again. https://t.co/BuQ3vMwtPn,112,@BBC
0.0,2018-04-29 02:19:45+00:00,1.0,0.0,0.0,@realDonaldTrump @BarackObama @GOP @DNC @VP @JoeBiden @SpeakerRyan @NancyPelosi @SenateMajLdr @SenSchumer… https://t.co/GiSvnnm90l,113,@BBC
0.765,2018-04-29 02:19:42+00:00,0.708,0.0,0.292,RT @BBC: ❤️ This make-up artist is using her skills to help scarred women feel beautiful again. https://t.co/BuQ3vMwtPn,114,@BBC
0.902,2018-04-29 02:19:39+00:00,0.483,0.106,0.411,RT @Ekta_Kanda: Volunteers of @derasachasauda are always ready to help freedom fighters who had fought for our country's freedom with the g…,115,@BBC
0.557,2018-04-29 02:19:02+00:00,0.847,0.0,0.153,"RT @nikx_exe: According to Professor Harare of Israel, a divine greatman of India with humanitarian thoughts would make the roots of spirit…",116,@BBC
0.0,2018-04-29 02:18:37+00:00,1.0,0.0,0.0,@realDonaldTrump @BarackObama @GOP @DNC @VP @JoeBiden @SpeakerRyan @NancyPelosi @SenateMajLdr @SenSchumer… https://t.co/jU7xjPcNlo,117,@BBC
0.557,2018-04-29 02:18:17+00:00,0.825,0.0,0.175,"According to Professor Harare of Israel, a divine greatman of India with humanitarian thoughts would make the roots… https://t.co/T7RDAltCFV",118,@BBC
0.0,2018-04-29 02:17:46+00:00,1.0,0.0,0.0,"RT @kapil_sindal: फ्रांस के नास्त्रेदमस ने छाती ठोक कर शब्दा शब्द कहा था वह ग्रेट सायरन अपने गूढ़ गहरा ज्ञान से अज्ञान की खाल उतारेगा...
#S…",119,@BBC
